week,ORF,Der Standard,Kronen Zeitung,Kurier,Die Presse,Profil,Kleine Zeitung,Heute,Österreich,News,Format,derstandard.at,krone.at
2013-12-29,63,4,3,6,2,1.2436791034577013,8.705753724203909,17.411507448407818,75.86442531091978,0.0,0.0,0.0,6.0
2014-01-05,54,4,3,5,2,1.2436791034577013,8.705753724203909,14.924149241492415,85.8138581385814,0.0,0.0,0.0,5.0
2014-01-12,54,4,3,6,2,1.2436791034577013,8.705753724203909,13.680470138034714,88.30121634549678,0.0,0.0,0.0,5.0
2014-01-19,58,4,3,6,2,1.2436791034577013,9.94943282766161,14.924149241492415,84.57017903512369,0.0,0.0,0.0,5.0
2014-01-26,58,4,3,6,2,1.2436791034577013,9.94943282766161,14.924149241492415,80.83914172475059,0.0,0.0,0.0,5.0
2014-02-02,53,4,3,6,2,1.2436791034577013,9.94943282766161,14.924149241492415,84.57017903512369,0.0,0.0,0.0,5.0
2014-02-09,82,4,3,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,83.32649993166598,0.0,0.0,0.0,5.0
2014-02-16,83,4,2,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,79.59546262129288,0.0,0.0,0.0,5.0
2014-02-23,54,4,3,6,2,1.2436791034577013,8.705753724203909,13.680470138034714,83.32649993166598,0.0,0.0,0.0,5.0
2014-03-02,54,5,3,6,2,1.2436791034577013,9.94943282766161,14.924149241492415,80.83914172475059,0.0,0.0,0.0,4.0
2014-03-09,64,4,3,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,80.83914172475059,0.0,0.0,0.0,4.0
2014-03-16,57,4,3,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,83.32649993166598,0.0,0.0,0.0,4.0
2014-03-23,52,4,3,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,83.32649993166598,0.0,0.0,0.0,4.0
2014-03-30,50,4,2,5,2,1.2436791034577013,8.705753724203909,13.680470138034714,84.57017903512369,0.0,0.0,0.0,4.0
2014-04-06,54,4,2,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,83.32649993166598,0.0,0.0,0.0,4.0
2014-04-13,52,4,2,5,2,1.2436791034577013,8.705753724203909,16.167828344950117,80.83914172475059,0.0,0.0,0.0,4.0
2014-04-20,57,4,2,5,2,1.2436791034577013,8.705753724203909,17.411507448407818,80.83914172475059,0.0,0.0,0.0,4.0
2014-04-27,55,4,2,5,2,1.2436791034577013,8.705753724203909,17.411507448407818,79.59546262129288,0.0,0.0,0.0,4.0
2014-05-04,55,4,2,5,2,1.2436791034577013,7.462074620746208,13.680470138034714,83.32649993166598,0.0,0.0,0.0,4.0
2014-05-11,61,4,2,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,88.30121634549678,0.0,0.0,0.0,4.0
2014-05-18,57,4,2,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,85.8138581385814,0.0,0.0,0.0,3.0
2014-05-25,59,4,2,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,94.5196118627853,0.0,0.0,0.0,4.0
2014-06-01,51,4,2,5,2,1.2436791034577013,8.705753724203909,13.680470138034714,87.05753724203909,0.0,0.0,0.0,4.0
2014-06-08,68,4,2,5,2,1.2436791034577013,8.705753724203909,17.411507448407818,79.59546262129288,0.0,0.0,0.0,3.0
2014-06-15,79,4,2,5,2,1.2436791034577013,9.94943282766161,21.14254475878092,77.10810441437748,0.0,0.0,0.0,3.0
2014-06-22,75,4,2,5,2,1.2436791034577013,8.705753724203909,18.65518655186552,79.59546262129288,0.0,0.0,0.0,3.0
2014-06-29,75,4,2,5,2,1.2436791034577013,9.94943282766161,17.411507448407818,79.59546262129288,0.0,0.0,0.0,3.0
2014-07-06,69,4,2,6,2,1.2436791034577013,8.705753724203909,18.65518655186552,83.32649993166598,0.0,0.0,0.0,4.0
2014-07-13,62,4,2,6,2,1.2436791034577013,8.705753724203909,13.680470138034714,78.35178351783517,0.0,0.0,0.0,4.0
2014-07-20,60,4,2,5,2,1.2436791034577013,9.94943282766161,16.167828344950117,79.59546262129288,0.0,0.0,0.0,4.0
2014-07-27,60,5,2,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,82.08282082820828,0.0,0.0,0.0,4.0
2014-08-03,59,4,2,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,79.59546262129288,0.0,0.0,0.0,4.0
2014-08-10,57,4,2,5,2,1.2436791034577013,9.94943282766161,16.167828344950117,77.10810441437748,0.0,0.0,0.0,3.0
2014-08-17,56,4,2,5,2,1.2436791034577013,11.193111931119311,16.167828344950117,79.59546262129288,0.0,0.0,0.0,4.0
2014-08-24,58,5,2,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,79.59546262129288,0.0,0.0,0.0,4.0
2014-08-31,59,4,2,6,2,1.2436791034577013,8.705753724203909,17.411507448407818,82.08282082820828,0.0,0.0,0.0,3.0
2014-09-07,54,4,2,6,2,1.2436791034577013,9.94943282766161,17.411507448407818,85.8138581385814,0.0,0.0,0.0,3.0
2014-09-14,56,4,2,6,2,1.2436791034577013,9.94943282766161,16.167828344950117,83.32649993166598,0.0,0.0,0.0,4.0
2014-09-21,49,4,2,6,2,1.2436791034577013,9.94943282766161,14.924149241492415,80.83914172475059,0.0,0.0,0.0,3.0
2014-09-28,52,4,2,6,2,1.2436791034577013,9.94943282766161,14.924149241492415,82.08282082820828,0.0,0.0,0.0,3.0
2014-10-05,56,4,2,5,2,1.2436791034577013,8.705753724203909,16.167828344950117,84.57017903512369,0.0,0.0,0.0,3.0
2014-10-12,53,4,2,5,2,1.2436791034577013,8.705753724203909,14.924149241492415,83.32649993166598,0.0,0.0,0.0,3.0
2014-10-19,56,4,2,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,82.08282082820828,0.0,0.0,0.0,4.0
2014-10-26,53,4,2,6,2,1.2436791034577013,8.705753724203909,17.411507448407818,82.08282082820828,0.0,0.0,0.0,4.0
2014-11-02,54,4,3,6,2,1.2436791034577013,12.436791034577013,16.167828344950117,83.32649993166598,0.0,0.0,0.0,4.0
2014-11-09,52,4,2,5,2,1.2436791034577013,9.94943282766161,14.924149241492415,84.57017903512369,0.0,0.0,0.0,3.0
2014-11-16,53,4,2,6,2,1.2436791034577013,9.94943282766161,17.411507448407818,88.30121634549678,0.0,0.0,0.0,3.0
2014-11-23,51,4,2,6,2,1.2436791034577013,8.705753724203909,14.924149241492415,77.10810441437748,0.0,0.0,0.0,3.0
2014-11-30,54,4,3,7,2,1.2436791034577013,9.94943282766161,14.924149241492415,82.08282082820828,0.0,0.0,0.0,4.0
2014-12-07,51,4,3,6,2,1.2436791034577013,8.705753724203909,17.411507448407818,78.35178351783517,0.0,0.0,0.0,3.0
2014-12-14,48,4,3,7,2,1.2436791034577013,8.705753724203909,14.924149241492415,74.62074620746208,0.0,0.0,0.0,3.0
2014-12-21,57,4,3,7,2,1.2436791034577013,8.705753724203909,22.386223862238623,70.88970889708898,0.0,0.0,0.0,3.0
2014-12-28,62,4,2,5,2,1.2436791034577013,8.705753724203909,21.14254475878092,77.10810441437748,0.0,0.0,0.0,3.0
2015-01-04,64,4,3,6,2,1.2436791034577013,8.705753724203909,18.65518655186552,83.32649993166598,0.0,0.0,0.0,3.0
2015-01-11,57,4,2,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,80.83914172475059,0.0,0.0,0.0,3.0
2015-01-18,63,4,2,6,2,1.2436791034577013,8.705753724203909,17.411507448407818,80.83914172475059,0.0,0.0,0.0,3.0
2015-01-25,61,4,2,6,2,1.2436791034577013,9.94943282766161,17.411507448407818,73.37706710400437,0.0,0.0,0.0,3.0
2015-02-01,59,4,2,5,2,1.2436791034577013,9.94943282766161,17.411507448407818,74.62074620746208,0.0,0.0,0.0,3.0
2015-02-08,67,4,2,6,2,1.2436791034577013,8.705753724203909,17.411507448407818,73.37706710400437,0.0,0.0,0.0,3.0
2015-02-15,58,4,2,6,2,1.2436791034577013,8.705753724203909,17.411507448407818,75.86442531091978,0.0,0.0,0.0,3.0
2015-02-22,55,4,2,5,2,1.2436791034577013,9.94943282766161,17.411507448407818,78.35178351783517,0.0,0.0,0.0,3.0
2015-03-01,53,4,2,5,2,1.2436791034577013,8.705753724203909,14.924149241492415,80.83914172475059,0.0,0.0,0.0,3.0
2015-03-08,52,4,2,6,2,1.2436791034577013,8.705753724203909,16.167828344950117,79.59546262129288,0.0,0.0,0.0,3.0
2015-03-15,59,4,3,5,2,1.2436791034577013,8.705753724203909,17.411507448407818,87.05753724203909,0.0,0.0,0.0,3.0
2015-03-22,62,5,3,6,2,1.2436791034577013,11.193111931119311,17.411507448407818,79.59546262129288,0.0,0.0,0.0,3.0
2015-03-29,57,4,2,5,2,1.2436791034577013,8.705753724203909,19.89886565532322,83.32649993166598,0.0,0.0,0.0,3.0
2015-04-05,51,4,2,5,2,1.2436791034577013,8.705753724203909,17.411507448407818,74.62074620746208,0.0,0.0,0.0,3.0
2015-04-12,52,4,2,5,2,1.2436791034577013,8.705753724203909,14.924149241492415,77.10810441437748,0.0,0.0,0.0,3.0
2015-04-19,51,4,2,5,2,1.2436791034577013,8.705753724203909,16.167828344950117,77.10810441437748,0.0,0.0,0.0,3.0
2015-04-26,54,4,2,5,2,1.2436791034577013,8.705753724203909,19.89886565532322,83.32649993166598,0.0,0.0,0.0,3.0
2015-05-03,54,4,2,5,2,1.2436791034577013,8.705753724203909,17.411507448407818,77.10810441437748,0.0,0.0,0.0,3.0
2015-05-10,55,4,2,5,2,1.2436791034577013,8.705753724203909,18.65518655186552,77.10810441437748,0.0,0.0,0.0,3.0
2015-05-17,59,4,2,5,2,1.2436791034577013,8.705753724203909,16.167828344950117,82.08282082820828,0.0,0.0,0.0,3.0
2015-05-24,53,4,2,5,2,1.2436791034577013,8.705753724203909,17.411507448407818,75.86442531091978,0.0,0.0,0.0,3.0
2015-05-31,57,4,3,6,2,1.2436791034577013,11.193111931119311,18.65518655186552,79.59546262129288,0.0,0.0,0.0,3.0
2015-06-07,59,4,3,6,2,1.2436791034577013,9.94943282766161,18.65518655186552,79.59546262129288,0.0,0.0,0.0,3.0
2015-06-14,62,4,3,6,2,1.2436791034577013,12.436791034577013,19.89886565532322,85.8138581385814,0.0,0.0,0.0,3.0
2015-06-21,56,4,3,6,2,1.2436791034577013,12.436791034577013,17.411507448407818,78.35178351783517,0.0,0.0,0.0,3.0
2015-06-28,55,4,2,6,2,1.2436791034577013,9.94943282766161,16.167828344950117,78.35178351783517,0.0,0.0,0.0,3.0
2015-07-05,64,5,3,6,2,1.2436791034577013,11.193111931119311,18.65518655186552,80.83914172475059,0.0,0.0,0.0,3.0
2015-07-12,59,4,3,6,2,1.2436791034577013,9.94943282766161,17.411507448407818,74.62074620746208,0.0,0.0,0.0,3.0
2015-07-19,62,4,2,6,2,1.2436791034577013,9.94943282766161,19.89886565532322,78.35178351783517,0.0,0.0,0.0,3.0
2015-07-26,57,4,3,6,2,1.2436791034577013,11.193111931119311,18.65518655186552,78.35178351783517,0.0,0.0,0.0,3.0
2015-08-02,58,4,3,6,2,1.2436791034577013,11.193111931119311,18.65518655186552,72.13338800054667,0.0,0.0,0.0,3.0
2015-08-09,59,4,3,6,2,1.2436791034577013,11.193111931119311,19.89886565532322,83.32649993166598,0.0,0.0,0.0,3.0
2015-08-16,57,4,3,6,2,1.2436791034577013,9.94943282766161,18.65518655186552,78.35178351783517,0.0,0.0,0.0,3.0
2015-08-23,58,4,5,6,2,1.2436791034577013,9.94943282766161,17.411507448407818,78.35178351783517,0.0,0.0,0.0,3.0
2015-08-30,57,4,3,6,2,1.2436791034577013,9.94943282766161,19.89886565532322,87.05753724203909,0.0,0.0,0.0,3.0
2015-09-06,56,4,3,6,2,1.2436791034577013,9.94943282766161,17.411507448407818,93.27593275932759,0.0,0.0,0.0,3.0
2015-09-13,61,5,3,7,2,1.2436791034577013,11.193111931119311,21.14254475878092,87.05753724203909,0.0,0.0,0.0,3.0
2015-09-20,54,4,3,7,2,1.2436791034577013,9.94943282766161,19.89886565532322,82.08282082820828,0.0,0.0,0.0,3.0
2015-09-27,58,5,3,7,2,1.2436791034577013,9.94943282766161,19.89886565532322,82.08282082820828,0.0,0.0,0.0,3.0
2015-10-04,56,4,3,6,2,1.2436791034577013,9.94943282766161,18.65518655186552,84.57017903512369,0.0,0.0,0.0,3.0
2015-10-11,58,5,3,6,2,1.2436791034577013,9.94943282766161,18.65518655186552,87.05753724203909,0.0,0.0,0.0,3.0
2015-10-18,54,4,3,6,2,1.2436791034577013,11.193111931119311,19.89886565532322,85.8138581385814,0.0,0.0,0.0,3.0
2015-10-25,53,4,3,6,2,1.2436791034577013,11.193111931119311,21.14254475878092,85.8138581385814,0.0,0.0,0.0,3.0
2015-11-01,50,4,3,6,2,1.2436791034577013,9.94943282766161,18.65518655186552,82.08282082820828,0.0,0.0,0.0,3.0
2015-11-08,54,5,4,7,2,1.2436791034577013,11.193111931119311,18.65518655186552,83.32649993166598,0.0,0.0,0.0,4.0
2015-11-15,59,5,4,8,2,1.2436791034577013,11.193111931119311,19.89886565532322,85.8138581385814,0.0,0.0,0.0,4.0
2015-11-22,55,4,3,7,2,1.2436791034577013,9.94943282766161,18.65518655186552,74.62074620746208,0.0,0.0,0.0,3.0
2015-11-29,53,4,3,7,2,1.2436791034577013,9.94943282766161,18.65518655186552,73.37706710400437,0.0,0.0,0.0,3.0
2015-12-06,50,4,3,6,2,1.2436791034577013,8.705753724203909,21.14254475878092,73.37706710400437,0.0,0.0,0.0,3.0
2015-12-13,49,4,3,7,2,1.2436791034577013,9.94943282766161,17.411507448407818,75.86442531091978,0.0,0.0,0.0,3.0
2015-12-20,52,4,3,6,2,1.2436791034577013,9.94943282766161,23.629902965696324,68.40235069017356,0.0,0.0,0.0,3.0
2015-12-27,57,3,3,6,2,1.2436791034577013,9.94943282766161,26.117261172611727,72.13338800054667,0.0,0.0,0.0,2.0
2016-01-03,50,4,2,5,2,1.2436791034577013,9.94943282766161,21.14254475878092,77.10810441437748,0.0,0.0,0.0,2.0
2016-01-10,54,4,3,5,2,1.2436791034577013,9.94943282766161,18.65518655186552,80.83914172475059,0.0,0.0,0.0,2.0
2016-01-17,62,4,2,5,2,1.2436791034577013,11.193111931119311,18.65518655186552,77.10810441437748,0.0,0.0,0.0,2.0
2016-01-24,59,4,2,5,2,1.2436791034577013,9.94943282766161,19.89886565532322,85.8138581385814,0.0,0.0,0.0,2.0
2016-01-31,52,3,3,5,2,1.2436791034577013,9.94943282766161,19.89886565532322,82.08282082820828,0.0,0.0,0.0,2.0
2016-02-07,52,4,3,5,2,1.2436791034577013,9.94943282766161,19.89886565532322,78.35178351783517,0.0,0.0,0.0,2.0
2016-02-14,54,3,2,6,2,1.2436791034577013,9.94943282766161,19.89886565532322,80.83914172475059,0.0,0.0,0.0,2.0
2016-02-21,53,3,3,5,2,1.2436791034577013,9.94943282766161,19.89886565532322,77.10810441437748,0.0,0.0,0.0,2.0
2016-02-28,56,4,2,5,2,1.2436791034577013,9.94943282766161,19.89886565532322,74.62074620746208,0.0,0.0,0.0,2.0
2016-03-06,52,3,2,5,2,1.2436791034577013,8.705753724203909,18.65518655186552,74.62074620746208,0.0,0.0,0.0,2.0
2016-03-13,56,4,2,5,2,1.2436791034577013,9.94943282766161,18.65518655186552,78.35178351783517,0.0,0.0,0.0,2.0
2016-03-20,59,4,3,6,2,1.2436791034577013,11.193111931119311,21.14254475878092,85.8138581385814,0.0,0.0,0.0,3.0
2016-03-27,54,3,2,5,2,1.2436791034577013,11.193111931119311,21.14254475878092,85.8138581385814,0.0,0.0,0.0,2.0
