date,alum,barley,bfr,cocoa,coffee,copper,corn,cotton,cottonseed,cpi,dfl,dmk,fishmeal,fuel,grain,groundnut,hog,housing,income,inventories,ipi,iron-steel,lei,livestock,lumber,meal-feed,money-fx,money-supply,nickel,nkr,oat,orange,palm-oil,peseta,platinum,plywood,potato,rape-oil,rapeseed,red-bean,rice,rupiah,rye,saudriyal,skr,soy-meal,soy-oil,soybean,sugar,sun-oil,tin,wheat,wool,zinc
1987-01-01,,,38.62,,3.192,,,,,111.4,2.0978,1.8596,,111.4,0.416,,,1774.0,100678.0,3820.2,56.0882,102.0,,152.5,105.5,,,,,7.17047659552381,87.2,1.512,,129.54,109.1,105.5,,,,,0.416,1631.19,57.9,3.75,6.60938900985714,,,,,,111.7,,,
1987-01-02,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,2794.4,780.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-09,,,,,,,,,,,,,,,,,,,,,,,1.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2770.7,750.4,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-16,,,,,,,,,,,,,,,,,,,,,,,1.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,2750.2,732.7,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-23,,,,,,,,,,,,,,,,,,,,,,,1.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,2728.4,713.2,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-01-30,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987-02-01,,,37.79,,3.087,,,,,111.8,2.0592,1.8239,,111.8,0.411,,,1784.0,100919.0,3845.0,56.8275,102.3,,153.6,105.4,,,,,7.0097245216,86.6,1.499,,128.62,108.9,105.4,,,,,0.411,1639.42,57.7,3.75,6.5040464162,,,,,,112.1,,,
1987-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2727.9,715.6,,,,,,,,,,,,,,,,,,,,,,,,,,
