date,austdlr,can,crude,dkr,heat,hk,interest,rand,reserves,ringgit,sfr,stg,yen
1987-01-01,,,,,,,14.35,,14.35,,,,
1987-01-02,0.6658,1.3785,18.13,7.27,0.49,7.78,6.46,2.1645,6.46,2.599,1.61,1.49,158.25
1987-01-03,,,,,,,6.46,,6.46,,,,
1987-01-04,,,,,,,6.46,,6.46,,,,
1987-01-05,0.6692,1.3758,17.98,7.311,0.484,7.7895,6.86,2.1608,6.86,2.6005,1.629,1.4728,159.4
1987-01-06,0.6642,1.3744,18.21,7.28,0.494,7.7865,6.56,2.1575,6.56,2.601,1.6132,1.4762,158.78
1987-01-07,0.6635,1.3718,18.28,7.315,0.499,7.786,6.2,2.1561,6.2,2.605,1.6205,1.4705,158.05
1987-01-08,0.6665,1.3711,18.63,7.28,0.506,7.783,5.98,2.1482,5.98,2.606,1.611,1.475,158.23
1987-01-09,0.667,1.3702,18.78,7.276,0.519,7.781,5.93,2.1436,5.93,2.604,1.6057,1.478,158.2
1987-01-10,,,,,,,5.93,,5.93,,,,
1987-01-11,,,,,,,5.93,,5.93,,,,
1987-01-12,0.667,1.3662,19.0,7.195,0.535,7.7725,6.22,2.1075,6.22,2.594,1.5817,1.4918,156.77
1987-01-13,0.6552,1.3661,18.86,7.1615,0.534,7.772,6.19,2.0868,6.19,2.579,1.576,1.4903,155.75
1987-01-14,0.644,1.3635,19.13,7.005,0.55,7.766,5.89,2.0768,5.89,2.569,1.54,1.5055,152.8
1987-01-15,0.6498,1.363,19.09,7.023,0.551,7.762,6.01,2.0704,6.01,2.565,1.547,1.5042,153.55
1987-01-16,0.6521,1.3633,19.13,6.992,0.551,7.76,5.97,2.0619,5.97,2.563,1.545,1.5155,153.4
1987-01-17,,,,,,,5.97,,5.97,,,,
1987-01-18,,,,,,,5.97,,5.97,,,,
1987-01-19,,,18.7,,0.531,,5.97,,5.97,,,,
1987-01-20,0.6631,1.3589,18.73,6.98,0.54,7.755,6.13,2.0661,6.13,2.556,1.5415,1.52,152.68
1987-01-21,0.6617,1.357,18.6,7.015,0.522,7.755,6.07,2.0833,6.07,2.557,1.551,1.517,153.95
1987-01-22,0.6593,1.3573,18.76,6.879,0.538,7.755,6.08,2.0597,6.08,2.55,1.5225,1.532,151.9
1987-01-23,0.6615,1.359,18.59,6.927,0.531,7.76,6.02,2.0877,6.02,2.553,1.537,1.5205,153.08
1987-01-24,,,,,,,6.02,,6.02,,,,
1987-01-25,,,,,,,6.02,,6.02,,,,
