date,t_years,gold,silver,gas,oil,commodity_topics,label,IN,price_gold,price_silver,price_oil,price_gas,log_price_gold,dev_gold,log_price_silver,dev_silver,log_price_oil,dev_oil,log_price_gas,dev_gas,obs_id
1970-01-01,0.0,0,1,0,1,"oil,silver",0,0,,1.5562537978060949,32.04999923706055,,,,0.44228152158523304,0.0,3.4672971595620155,0.0,,,0
1970-01-06,0.0119047619047619,1,0,0,0,gold,0,0,35.07514948901256,,,,3.557492887961269,0.0,,,,,,,1
1970-01-09,0.0238095238095238,1,1,1,1,"gas,gold,oil,silver",0,0,34.75804894045297,1.5598629805963165,33.013,5.152160273065792,3.548411169375758,0.0,0.44459798445282694,0.0,3.4969014232866686,0.0,1.6394160972207024,0.0,2
1970-01-14,0.0357142857142857,1,1,1,1,"gas,gold,oil,silver",0,0,34.84193263369292,1.5375681638578764,34.623,5.192892539737955,3.550821622136187,0.0,0.43020205393230854,0.0,3.5445182011063774,0.0,1.6472908713567105,0.0,3
1970-01-16,0.0436507936507936,1,1,1,1,"gas,gold,oil,silver",0,0,35.26496141327888,1.5859571581105183,32.6868,4.70419275575708,3.5628898764664028,0.0,0.4611881103071542,0.0,3.486971326681881,0.0,1.5484541867459671,0.0,4
1970-01-21,0.0555555555555555,1,1,1,1,"gas,gold,oil,silver",0,0,34.72642317413504,1.581278582349432,31.4331,4.94246722221993,3.547500871936939,0.0,0.45823374912443526,0.0,3.447861477826041,0.0,1.5978646442186777,0.0,5
1970-01-26,0.0674603174603174,1,1,1,1,"gas,gold,oil,silver",0,0,34.13035652630922,1.5294422110418744,30.0358,4.7646212826947485,3.5301872089909003,0.0,0.424903100986807,0.0,3.4023900035392134,0.0,1.561218054974774,0.0,6
1970-01-29,0.0793650793650793,1,0,0,1,"gold,oil",0,0,33.89042665768986,,28.5007,,3.523132575025988,0.0,,,3.3499286483764874,0.0,,,7
1970-02-03,0.0912698412698412,1,1,1,1,"gas,gold,oil,silver",0,0,33.823165372752875,1.4924824891631732,27.6477,4.28283350958273,3.5211459337906903,0.0,0.40044083366180533,0.0,3.3195425418683313,0.0,1.4546148254944775,0.0,8
1970-02-06,0.1031746031746031,1,1,1,1,"gas,gold,oil,silver",0,0,34.30635712026137,1.50346625773015,25.944,4.436180538642124,3.535330675781914,0.0,0.40777328071383234,0.0,3.2559403690050166,0.0,1.4897937671816273,0.0,9
