obs_id,date,t_years,gold,silver,gas,oil,commodity_topics,price_gold,log_price_gold,dev_gold,price_silver,log_price_silver,dev_silver,label,IN
0,1970-01-01,0.0,0,1,0,0,silver,,,,1.5562537978060949,0.442281521585233,0.0,0,0
1,1970-01-06,0.0119047619047619,1,0,1,0,"gas,gold",35.07514948901256,3.557492887961269,0.0,,,,0,0
2,1970-01-09,0.0238095238095238,1,0,0,0,gold,34.75804894045297,3.548411169375758,0.0,,,,0,0
3,1970-01-14,0.0357142857142857,0,1,1,1,"gas,oil,silver",,,,1.5375681638578764,0.4302020539323085,0.0,0,0
4,1970-01-16,0.0436507936507936,1,0,0,0,gold,35.26496141327888,3.5628898764664028,0.0,,,,0,0
5,1970-01-21,0.0555555555555555,0,0,1,1,"gas,oil",,,,,,,0,0
6,1970-01-26,0.0674603174603174,1,0,1,0,"gas,gold",34.13035652630922,3.5301872089909003,0.0,,,,0,0
7,1970-01-29,0.0793650793650793,0,1,0,1,"oil,silver",,,,1.5073575694479795,0.4103581638606922,0.0,0,0
8,1970-02-03,0.0912698412698412,0,0,1,0,gas,,,,,,,0,0
9,1970-02-06,0.1031746031746031,1,1,0,1,"gold,oil,silver",34.30635712026137,3.535330675781914,0.0,1.50346625773015,0.4077732807138322,0.0,0,0
10,1970-02-11,0.115079365079365,1,1,0,1,"gold,oil,silver",33.19892352554154,3.502517451467304,0.0,1.4198591994546863,0.3505577113833552,0.0,0,0
11,1970-02-16,0.1269841269841269,0,0,1,0,gas,,,,,,,0,0
12,1970-02-18,0.1349206349206349,1,0,0,0,gold,32.830747453344955,3.491365498642234,0.0,,,,0,0
13,1970-02-23,0.1468253968253968,0,1,0,0,silver,,,,1.3980457278891678,0.3350753527825167,0.0,0,0
14,1970-02-26,0.1587301587301587,0,0,1,0,gas,,,,,,,0,0
15,1970-03-03,0.1706349206349206,1,1,0,0,"gold,silver",33.20926202739512,3.50282881374444,0.0,1.3704627438786547,0.3151484520633333,0.0,0,0
16,1970-03-06,0.1825396825396825,0,0,1,0,gas,,,,,,,0,0
17,1970-03-11,0.1944444444444444,0,0,0,1,oil,,,,,,,0,0
18,1970-03-16,0.2063492063492063,1,0,0,0,gold,32.433354171716424,3.479187343022608,0.0,,,,0,0
19,1970-03-19,0.2182539682539682,1,1,0,1,"gold,oil,silver",32.633829866220346,3.4853494762649704,0.0,1.280021096653747,0.2468765595564429,0.0,0,0
20,1970-03-23,0.2261904761904762,1,0,0,0,gold,32.71675273765101,3.4878872628502173,0.0,,,,0,0
21,1970-03-26,0.238095238095238,1,1,0,1,"gold,oil,silver",33.2128394404589,3.502936531295923,0.0,1.303199653094839,0.2648225121107881,0.0,0,0
22,1970-03-31,0.25,1,0,0,0,gold,33.28719448079368,3.505172772901721,0.0,,,,0,0
23,1970-04-03,0.2619047619047619,1,0,1,0,"gas,gold",33.0306239420588,3.497435129386522,0.0,,,,0,0
