obs_id,date,t_years,gold,silver,gas,oil,commodity_topics,price_gold,log_price_gold,dev_gold,price_silver,log_price_silver,dev_silver,label,IN
0,1970-01-01,0.0,0,1,0,1,"oil,silver",,,,1.5680445948316888,0.4498293621052246,0.0,0,0
1,1970-01-06,0.011904761904761904,1,0,0,0,gold,35.07514948901256,3.557492887961269,0.0,,,,0,0
2,1970-01-09,0.023809523809523808,1,1,1,1,"gas,gold,oil,silver",34.75804894045297,3.548411169375758,0.0,1.5964214759712976,0.4677645468527046,0.0,0,0
3,1970-01-14,0.03571428571428571,1,1,1,1,"gas,gold,oil,silver",34.84193263369292,3.550821622136187,0.0,1.5856236869152602,0.4609778232529806,0.0,0,0
4,1970-01-16,0.04365079365079365,1,1,1,1,"gas,gold,oil,silver",35.264961413278876,3.5628898764664028,0.0,1.616018902378169,0.47996565704668775,0.0,0,0
5,1970-01-21,0.05555555555555555,1,1,1,1,"gas,gold,oil,silver",34.72642317413504,3.547500871936939,0.0,1.581110938293961,0.45812772546445685,0.0,0,0
6,1970-01-26,0.06746031746031746,1,1,1,1,"gas,gold,oil,silver",34.13035652630922,3.5301872089909003,0.0,1.541285333968074,0.43261670076036207,0.0,0,0
7,1970-01-29,0.07936507936507936,1,0,0,1,"gold,oil",33.89042665768986,3.523132575025988,0.0,,,,0,0
8,1970-02-03,0.09126984126984126,1,1,1,1,"gas,gold,oil,silver",33.823165372752875,3.5211459337906903,0.0,1.5529553936100406,0.44015982103031037,0.0,0,0
9,1970-02-06,0.10317460317460317,1,1,1,1,"gas,gold,oil,silver",34.30635712026137,3.535330675781914,0.0,1.5626185354233522,0.44636296242193796,0.0,0,0
10,1970-02-11,0.11507936507936507,1,1,1,1,"gas,gold,oil,silver",33.19892352554154,3.502517451467304,0.0,1.5291678510229005,0.4247236992231677,0.0,0,0
11,1970-02-16,0.12698412698412698,1,0,1,1,"gas,gold,oil",32.42350580306691,3.4788836475082388,0.0,,,,0,0
12,1970-02-18,0.1349206349206349,1,0,0,1,"gold,oil",32.830747453344955,3.491365498642234,0.0,,,,0,0
13,1970-02-23,0.14682539682539683,0,0,1,1,"gas,oil",,,,,,,0,0
14,1970-02-26,0.15873015873015872,0,0,1,0,gas,,,,,,,0,0
15,1970-03-03,0.17063492063492064,1,1,1,0,"gas,gold,silver",33.20926202739512,3.50282881374444,0.0,1.5253759863722436,0.4222409281121182,0.0,0,0
16,1970-03-06,0.18253968253968253,1,1,1,1,"gas,gold,oil,silver",32.98376014643128,3.496015323562469,0.0,1.492841664817934,0.40068146123721604,0.0,0,0
17,1970-03-11,0.19444444444444445,1,1,1,1,"gas,gold,oil,silver",32.8307393355376,3.4913652513798663,0.0,1.4722665042488394,0.3868030530013693,0.0,0,0
18,1970-03-16,0.20634920634920634,0,1,1,1,"gas,oil,silver",,,,1.4298538071428795,0.3575722062784732,0.0,0,0
19,1970-03-19,0.21825396825396826,1,1,1,1,"gas,gold,oil,silver",32.633829866220346,3.4853494762649704,0.0,1.4461225080145683,0.36888584214964293,0.0,0,0
20,1970-03-23,0.2261904761904762,1,1,1,0,"gas,gold,silver",32.71675273765101,3.4878872628502173,0.0,1.4463418630653886,0.3690375156177307,0.0,0,0
21,1970-03-26,0.23809523809523808,1,0,1,0,"gas,gold",33.2128394404589,3.502936531295923,0.0,,,,0,0
22,1970-03-31,0.25,1,1,1,0,"gas,gold,silver",33.28719448079368,3.5051727729017212,0.0,1.4451908812443617,0.3682414105872195,0.0,0,0
23,1970-04-03,0.2619047619047619,1,1,1,1,"gas,gold,oil,silver",33.030623942058796,3.497435129386522,0.0,1.4095142320822578,0.34324512877700064,0.0,0,0
24,1970-04-08,0.27380952380952384,1,0,0,1,"gold,oil",33.47120052349968,3.5106853832235227,0.0,,,,0,0
25,1970-04-13,0.2857142857142857,1,1,1,1,"gas,gold,oil,silver",33.22374614086765,3.5032648654633487,0.0,1.4136629623211032,0.34618418143970575,0.0,0,0
