obs_id,date,t_years,gold,silver,gas,oil,commodity_topics,price_gold,log_price_gold,dev_gold,price_silver,log_price_silver,dev_silver,label,IN
0,1970-01-01,0.0,0,1,0,1,"oil,silver",,,,1.5890526411163255,0.46313801546168104,0.0,0,0
1,1970-01-06,0.011904761904761904,1,0,0,0,gold,35.07514948901256,3.557492887961269,0.0,,,,0,0
2,1970-01-09,0.023809523809523808,1,1,1,1,"gas,gold,oil,silver",34.75804894045297,3.548411169375758,0.0,1.6281573771969062,0.48744893194806677,0.0,0,0
3,1970-01-14,0.03571428571428571,1,1,1,1,"gas,gold,oil,silver",34.84193263369292,3.550821622136187,0.0,1.5975374379465908,0.4684633423292788,0.0,0,0
4,1970-01-16,0.04365079365079365,1,1,1,1,"gas,gold,oil,silver",35.264961413278876,3.5628898764664028,0.0,1.6114626480065908,0.47714224360360946,0.0,0,0
5,1970-01-21,0.05555555555555555,1,1,1,1,"gas,gold,oil,silver",34.72642317413504,3.547500871936939,0.0,1.6069267637256748,0.47432351242856485,0.0,0,0
6,1970-01-26,0.06746031746031746,1,1,1,1,"gas,gold,oil,silver",34.13035652630922,3.5301872089909003,0.0,1.5983178933576232,0.46895175957326507,0.0,0,0
7,1970-01-29,0.07936507936507936,1,0,0,1,"gold,oil",33.89042665768986,3.523132575025988,0.0,,,,0,0
8,1970-02-03,0.09126984126984126,1,1,1,1,"gas,gold,oil,silver",33.823165372752875,3.5211459337906903,0.0,1.6696571994016547,0.5126183355385624,0.0,0,0
9,1970-02-06,0.10317460317460317,1,1,1,1,"gas,gold,oil,silver",34.30635712026137,3.535330675781914,0.0,1.6312014299555149,0.4893168169056759,0.0,0,0
10,1970-02-11,0.11507936507936507,1,1,1,1,"gas,gold,oil,silver",33.19892352554154,3.502517451467304,0.0,1.7052671846530447,0.5337218049996679,0.0,0,0
11,1970-02-16,0.12698412698412698,1,0,1,1,"gas,gold,oil",32.42350580306691,3.4788836475082388,0.0,,,,0,0
12,1970-02-18,0.1349206349206349,1,0,0,1,"gold,oil",32.830747453344955,3.491365498642234,0.0,,,,0,0
13,1970-02-23,0.14682539682539683,0,0,1,1,"gas,oil",,,,,,,0,0
14,1970-02-26,0.15873015873015872,0,0,1,0,gas,,,,,,,0,0
15,1970-03-03,0.17063492063492064,1,1,1,0,"gas,gold,silver",33.20926202739512,3.50282881374444,0.0,1.7089445789206419,0.5358759746553957,0.0,0,0
16,1970-03-06,0.18253968253968253,1,1,1,1,"gas,gold,oil,silver",32.98376014643128,3.496015323562469,0.0,1.666301810890431,0.510606686335199,0.0,0,0
17,1970-03-11,0.19444444444444445,1,1,1,1,"gas,gold,oil,silver",32.8307393355376,3.4913652513798663,0.0,1.641608112036568,0.4956763175248476,0.0,0,0
18,1970-03-16,0.20634920634920634,0,1,1,1,"gas,oil,silver",,,,1.5978950684866908,0.4686871809119265,0.0,0,0
19,1970-03-19,0.21825396825396826,1,1,1,1,"gas,gold,oil,silver",32.633829866220346,3.4853494762649704,0.0,1.612332612099005,0.4776819578492986,0.0,0,0
20,1970-03-23,0.2261904761904762,1,1,1,0,"gas,gold,silver",32.71675273765101,3.4878872628502173,0.0,1.603769351964695,0.47235670357152126,0.0,0,0
21,1970-03-26,0.23809523809523808,1,0,1,0,"gas,gold",33.2128394404589,3.502936531295923,0.0,,,,0,0
22,1970-03-31,0.25,1,1,1,0,"gas,gold,silver",33.28719448079368,3.5051727729017212,0.0,1.533830761293035,0.4277683717564788,0.0,0,0
23,1970-04-03,0.2619047619047619,1,1,1,1,"gas,gold,oil,silver",33.030623942058796,3.497435129386522,0.0,1.4884796800211049,0.3977552500678535,0.0,0,0
24,1970-04-08,0.27380952380952384,1,0,0,1,"gold,oil",33.47120052349968,3.5106853832235227,0.0,,,,0,0
25,1970-04-13,0.2857142857142857,1,1,1,1,"gas,gold,oil,silver",33.22374614086765,3.5032648654633487,0.0,1.4796325288534515,0.39179376563139645,0.0,0,0
