obs_id,date,t_years,gold,silver,gas,oil,commodity_topics,price_gold,log_price_gold,dev_gold,price_silver,log_price_silver,dev_silver,label,IN
0,1970-01-01,0.0,0,1,0,1,"oil,silver",,,,1.5562537978060949,0.44228152158523304,0.0,0,0
1,1970-01-06,0.011904761904761904,1,0,0,0,gold,35.07514948901256,3.557492887961269,0.0,,,,0,0
2,1970-01-09,0.023809523809523808,1,1,1,1,"gas,gold,oil,silver",34.75804894045297,3.548411169375758,0.0,1.5598629805963165,0.4445979844528269,0.0,0,0
3,1970-01-14,0.03571428571428571,1,1,1,1,"gas,gold,oil,silver",34.84193263369292,3.550821622136187,0.0,1.5375681638578764,0.4302020539323085,0.0,0,0
4,1970-01-16,0.04365079365079365,1,1,1,1,"gas,gold,oil,silver",35.264961413278876,3.5628898764664028,0.0,1.5859571581105183,0.46118811030715423,0.0,0,0
5,1970-01-21,0.05555555555555555,1,1,1,1,"gas,gold,oil,silver",34.72642317413504,3.547500871936939,0.0,1.581278582349432,0.4582337491244353,0.0,0,0
6,1970-01-26,0.06746031746031746,1,1,1,1,"gas,gold,oil,silver",34.13035652630922,3.5301872089909003,0.0,1.5294422110418744,0.42490310098680706,0.0,0,0
7,1970-01-29,0.07936507936507936,1,0,0,1,"gold,oil",33.89042665768986,3.523132575025988,0.0,,,,0,0
8,1970-02-03,0.09126984126984126,1,1,1,1,"gas,gold,oil,silver",33.823165372752875,3.5211459337906903,0.0,1.4924824891631732,0.4004408336618054,0.0,0,0
9,1970-02-06,0.10317460317460317,1,1,1,1,"gas,gold,oil,silver",34.30635712026137,3.535330675781914,0.0,1.5034662577301499,0.40777328071383223,0.0,0,0
10,1970-02-11,0.11507936507936507,1,1,1,1,"gas,gold,oil,silver",33.19892352554154,3.502517451467304,0.0,1.4198591994546865,0.35055771138335523,0.0,0,0
11,1970-02-16,0.12698412698412698,1,0,1,1,"gas,gold,oil",32.42350580306691,3.4788836475082388,0.0,,,,0,0
12,1970-02-18,0.1349206349206349,1,0,0,1,"gold,oil",32.830747453344955,3.491365498642234,0.0,,,,0,0
13,1970-02-23,0.14682539682539683,0,0,1,1,"gas,oil",,,,,,,0,0
14,1970-02-26,0.15873015873015872,0,0,1,0,gas,,,,,,,0,0
15,1970-03-03,0.17063492063492064,1,1,1,0,"gas,gold,silver",33.20926202739512,3.50282881374444,0.0,1.3704627438786547,0.3151484520633333,0.0,0,0
16,1970-03-06,0.18253968253968253,1,1,1,1,"gas,gold,oil,silver",32.98376014643128,3.496015323562469,0.0,1.3400103114502957,0.2926773090453738,0.0,0,0
17,1970-03-11,0.19444444444444445,1,1,1,1,"gas,gold,oil,silver",32.8307393355376,3.4913652513798663,0.0,1.3115789848309527,0.27123174331573696,0.0,0,0
18,1970-03-16,0.20634920634920634,0,1,1,1,"gas,oil,silver",,,,1.2924563746616682,0.2565445741512523,0.0,0,0
19,1970-03-19,0.21825396825396826,1,1,1,1,"gas,gold,oil,silver",32.633829866220346,3.4853494762649704,0.0,1.280021096653747,0.24687655955644294,0.0,0,0
20,1970-03-23,0.2261904761904762,1,1,1,0,"gas,gold,silver",32.71675273765101,3.4878872628502173,0.0,1.2735876694492856,0.24183785441011335,0.0,0,0
21,1970-03-26,0.23809523809523808,1,0,1,0,"gas,gold",33.2128394404589,3.502936531295923,0.0,,,,0,0
22,1970-03-31,0.25,1,1,1,0,"gas,gold,silver",33.28719448079368,3.5051727729017212,0.0,1.3282273031404754,0.2838451984110677,0.0,0,0
23,1970-04-03,0.2619047619047619,1,1,1,1,"gas,gold,oil,silver",33.030623942058796,3.497435129386522,0.0,1.3576309982951666,0.30574126783510813,0.0,0,0
24,1970-04-08,0.27380952380952384,1,0,0,1,"gold,oil",33.47120052349968,3.5106853832235227,0.0,,,,0,0
25,1970-04-13,0.2857142857142857,1,1,1,1,"gas,gold,oil,silver",33.22374614086765,3.5032648654633487,0.0,1.3449741728833433,0.29637481055221876,0.0,0,0
26,1970-04-16,0.2976190476190476,1,0,1,1,"gas,gold,oil",32.9755800130424,3.4957672879268475,0.0,,,,0,0
27,1970-04-20,0.3055555555555556,1,1,1,1,"gas,gold,oil,silver",32.405052075287315,3.4783143388923463,0.0,1.269857964321811,0.23890505509935545,0.0,0,0
28,1970-04-23,0.31746031746031744,1,1,0,0,"gold,silver",31.77848828870914,3.458789591969283,0.0,1.2185951572444986,0.19769868479227332,0.0,0,0
29,1970-04-28,0.32936507936507936,1,1,1,1,"gas,gold,oil,silver",32.63967467402459,3.4855285629513997,0.0,1.2430749152537182,0.2175880804257973,0.0,0,0
30,1970-05-01,0.3412698412698413,1,1,0,1,"gold,oil,silver",32.8068708421867,3.4906379703488124,0.0,1.2414317778596695,0.21626537307454213,0.0,0,0
31,1970-05-06,0.3531746031746032,1,1,1,1,"gas,gold,oil,silver",32.70944627834279,3.487663913199818,0.0,1.222959916810747,0.20127408168776606,0.0,0,0
32,1970-05-11,0.36507936507936506,0,1,1,1,"gas,oil,silver",,,,1.1482801701688372,0.13826531879157322,0.0,0,0
33,1970-05-14,0.376984126984127,1,1,1,1,"gas,gold,oil,silver",31.930775942074412,3.463570307780444,0.0,1.1394096020204143,0.13051023528897399,0.0,0,0
34,1970-05-19,0.3888888888888889,1,0,1,1,"gas,gold,oil",31.81773754898035,3.460023918841277,0.0,,,,0,0
35,1970-05-21,0.3968253968253968,1,1,1,1,"gas,gold,oil,silver",31.221886914372096,3.4411193525425237,0.0,1.129649000386739,0.12190696534535622,0.0,0,0
36,1970-05-26,0.4087301587301587,1,1,0,1,"gold,oil,silver",31.6456996572429,3.4546022675497037,0.0,1.1624098979203057,0.15049534831021028,0.0,0,0
37,1970-05-29,0.42063492063492064,1,1,1,1,"gas,gold,oil,silver",31.902928273696666,3.4626978009915463,0.0,1.131031127806125,0.12312971913024967,0.0,0,0
38,1970-06-03,0.43253968253968256,0,0,1,1,"gas,oil",,,,,,,0,0
39,1970-06-08,0.4444444444444444,1,1,1,1,"gas,gold,oil,silver",31.80737734195632,3.459698254765594,0.0,1.1692231712281564,0.1563395720778717,0.0,0,0
40,1970-06-11,0.45634920634920634,1,1,0,1,"gold,oil,silver",32.05581952774227,3.4674787434122765,0.0,1.180879812208745,0.1662597642200564,0.0,0,0
41,1970-06-16,0.46825396825396826,1,0,1,1,"gas,gold,oil",32.35068099074287,3.4766350714438277,0.0,,,,0,0
42,1970-06-19,0.4801587301587302,1,1,0,1,"gold,oil,silver",32.41249930872919,3.4785441295374917,0.0,1.216292403581154,0.19580721810861246,0.0,0,0
