obs_id,date,t_years,gold,silver,gas,oil,commodity_topics,price_gold,log_price_gold,dev_gold,sigma_gold,price_silver,log_price_silver,dev_silver,sigma_silver,var_spike,label,IN
0,1970-01-01,0.0,0,1,0,1,"oil,silver",,,,,1.5562537978060949,0.44228152158523304,0.0,0.018,0.0,0,0
1,1970-01-06,0.011904761904761904,1,0,0,0,gold,35.07514948901256,3.557492887961269,0.0,0.01,,,,,0.0,0,0
2,1970-01-09,0.023809523809523808,1,1,1,1,"gas,gold,oil,silver",34.75804894045297,3.548411169375758,0.0,0.01,1.5598629805963165,0.4445979844528269,0.0,0.018,0.0,0,0
3,1970-01-14,0.03571428571428571,1,1,1,1,"gas,gold,oil,silver",34.84193263369292,3.550821622136187,0.0,0.01,1.5375681638578764,0.4302020539323085,0.0,0.018,0.0,0,0
4,1970-01-16,0.04365079365079365,1,1,1,1,"gas,gold,oil,silver",35.264961413278876,3.5628898764664028,0.0,0.01,1.5859571581105183,0.46118811030715423,0.0,0.018,0.0,0,0
5,1970-01-21,0.05555555555555555,1,1,1,1,"gas,gold,oil,silver",34.72642317413504,3.547500871936939,0.0,0.01,1.581278582349432,0.4582337491244353,0.0,0.018,0.0,0,0
6,1970-01-26,0.06746031746031746,1,1,1,1,"gas,gold,oil,silver",34.13035652630922,3.5301872089909003,0.0,0.01,1.5294422110418744,0.42490310098680706,0.0,0.018,0.0,0,0
7,1970-01-29,0.07936507936507936,1,0,0,1,"gold,oil",33.89042665768986,3.523132575025988,0.0,0.01,,,,,0.0,0,0
8,1970-02-03,0.09126984126984126,1,1,1,1,"gas,gold,oil,silver",33.823165372752875,3.5211459337906903,0.0,0.01,1.4924824891631732,0.4004408336618054,0.0,0.018,0.0,0,0
9,1970-02-06,0.10317460317460317,1,1,1,1,"gas,gold,oil,silver",34.30635712026137,3.535330675781914,0.0,0.01,1.5034662577301499,0.40777328071383223,0.0,0.018,0.0,0,0
