Date,Kurs
1970-01-01,32.04999923706055
1970-01-02,33.3609
1970-01-05,33.7146
1970-01-06,33.5454
1970-01-07,33.3211
1970-01-08,33.3237
1970-01-09,33.013
1970-01-12,33.6887
1970-01-13,35.0035
1970-01-14,34.623
1970-01-15,33.5078
1970-01-16,32.6868
1970-01-19,32.5752
1970-01-20,31.8903
1970-01-21,31.4331
1970-01-22,30.9454
1970-01-23,30.826
1970-01-26,30.0358
1970-01-27,29.6639
1970-01-28,29.1078
1970-01-29,28.5007
1970-01-30,27.5449
1970-02-02,27.9731
1970-02-03,27.6477
1970-02-04,27.3313
1970-02-05,26.0589
1970-02-06,25.944
1970-02-09,26.6162
1970-02-10,27.3114
1970-02-11,27.857
1970-02-12,26.7846
1970-02-13,27.4413
1970-02-16,28.2887
1970-02-17,27.9115
1970-02-18,28.04
1970-02-19,28.1703
1970-02-20,27.5599
1970-02-23,27.8612
1970-02-24,29.1023
1970-02-25,29.0405
1970-02-26,30.2204
1970-02-27,30.6835
1970-03-02,30.8864
1970-03-03,30.0117
1970-03-04,30.2043
1970-03-05,30.3359
1970-03-06,31.1549
1970-03-09,29.2695
1970-03-10,28.6913
1970-03-11,28.1327
1970-03-12,28.4019
1970-03-13,28.8624
1970-03-16,28.3648
1970-03-17,28.9477
1970-03-18,28.1781
1970-03-19,28.9835
1970-03-20,29.1142
1970-03-23,29.5632
1970-03-24,29.802
1970-03-25,29.5685
1970-03-26,30.0759
1970-03-27,30.676
1970-03-30,31.039
1970-03-31,30.6184
1970-04-01,30.9404
1970-04-02,31.1288
1970-04-03,31.3599
1970-04-06,30.9547
1970-04-07,30.496
1970-04-08,30.4201
1970-04-09,31.7502
1970-04-10,32.175
1970-04-13,31.8758
1970-04-14,31.5477
1970-04-15,30.4501
1970-04-16,30.5711
1970-04-17,31.4466
1970-04-20,31.7756
1970-04-21,31.7077
1970-04-22,31.1518
1970-04-23,31.9245
1970-04-24,31.9613
1970-04-27,32.294
1970-04-28,31.8218
1970-04-29,31.8327
1970-04-30,31.3197
1970-05-01,31.4049
1970-05-04,33.329
1970-05-05,33.3118
1970-05-06,32.577
1970-05-07,32.8766
1970-05-08,32.6036
1970-05-11,32.2563
1970-05-12,31.433
1970-05-13,31.372
1970-05-14,32.6141
1970-05-15,33.1466
1970-05-18,31.7446
1970-05-19,31.1211
1970-05-20,31.5997
1970-05-21,31.2509
1970-05-22,31.1993
1970-05-25,31.4042
1970-05-26,32.8325
1970-05-27,33.7347
1970-05-28,33.5331
1970-05-29,33.6782
1970-06-01,33.6988
1970-06-02,34.0905
1970-06-03,34.9889
1970-06-04,34.9384
1970-06-05,34.5271
1970-06-08,36.031
1970-06-09,35.7906
1970-06-10,36.0216
1970-06-11,36.3649
1970-06-12,36.2065
1970-06-15,35.7297
1970-06-16,37.0575
1970-06-17,34.981
1970-06-18,35.0287
1970-06-19,35.909
1970-06-22,36.4467
1970-06-23,38.7855
1970-06-24,39.0303
1970-06-25,39.175
1970-06-26,38.1191
1970-06-29,37.9861
1970-06-30,40.11
1970-07-01,41.1177
1970-07-02,42.8699
1970-07-03,43.9097
1970-07-06,44.0962
1970-07-07,43.5765
1970-07-08,43.8569
1970-07-09,43.2767
1970-07-10,42.6906
1970-07-13,42.6682
1970-07-14,43.9378
1970-07-15,44.302
1970-07-16,45.9283
1970-07-17,46.0757
1970-07-20,44.9516
1970-07-21,46.0342
1970-07-22,45.1911
1970-07-23,46.8411
1970-07-24,47.3921
1970-07-27,48.3595
1970-07-28,46.4534
1970-07-29,46.7648
1970-07-30,46.7406
1970-07-31,47.3973
1970-08-03,46.5624
1970-08-04,46.3754
