date,applications_total,source
2014-01-01,3945,Eurostat TSV (local)
2014-02-01,3065,Eurostat TSV (local)
2014-03-01,3350,Eurostat TSV (local)
2014-04-01,3545,Eurostat TSV (local)
2014-05-01,4545,Eurostat TSV (local)
2014-06-01,4755,Eurostat TSV (local)
2014-07-01,6015,Eurostat TSV (local)
2014-08-01,6745,Eurostat TSV (local)
2014-09-01,9240,Eurostat TSV (local)
2014-10-01,8910,Eurostat TSV (local)
2014-11-01,10620,Eurostat TSV (local)
2014-12-01,12125,Eurostat TSV (local)
2015-01-01,11620,Eurostat TSV (local)
2015-02-01,9175,Eurostat TSV (local)
2015-03-01,8300,Eurostat TSV (local)
2015-04-01,11120,Eurostat TSV (local)
2015-05-01,18585,Eurostat TSV (local)
2015-06-01,22460,Eurostat TSV (local)
2015-07-01,25645,Eurostat TSV (local)
2015-08-01,25485,Eurostat TSV (local)
2015-09-01,31620,Eurostat TSV (local)
2015-10-01,36040,Eurostat TSV (local)
2015-11-01,34950,Eurostat TSV (local)
2015-12-01,21395,Eurostat TSV (local)
2016-01-01,16995,Eurostat TSV (local)
2016-02-01,14610,Eurostat TSV (local)
2016-03-01,9455,Eurostat TSV (local)
2016-04-01,11905,Eurostat TSV (local)
2016-05-01,11190,Eurostat TSV (local)
2016-06-01,9220,Eurostat TSV (local)
2016-07-01,8820,Eurostat TSV (local)
2016-08-01,9310,Eurostat TSV (local)
2016-09-01,7400,Eurostat TSV (local)
2016-10-01,7355,Eurostat TSV (local)
2016-11-01,6565,Eurostat TSV (local)
2016-12-01,6665,Eurostat TSV (local)
2017-01-01,6095,Eurostat TSV (local)
2017-02-01,5610,Eurostat TSV (local)
2017-03-01,5795,Eurostat TSV (local)
2017-04-01,5310,Eurostat TSV (local)
2017-05-01,5735,Eurostat TSV (local)
2017-06-01,5495,Eurostat TSV (local)
2017-07-01,6075,Eurostat TSV (local)
2017-08-01,6990,Eurostat TSV (local)
2017-09-01,5545,Eurostat TSV (local)
2017-10-01,5805,Eurostat TSV (local)
2017-11-01,4405,Eurostat TSV (local)
2017-12-01,4320,Eurostat TSV (local)
2018-01-01,3900,Eurostat TSV (local)
2018-02-01,3055,Eurostat TSV (local)
2018-03-01,3350,Eurostat TSV (local)
2018-04-01,2670,Eurostat TSV (local)
2018-05-01,2900,Eurostat TSV (local)
2018-06-01,2480,Eurostat TSV (local)
2018-07-01,2990,Eurostat TSV (local)
2018-08-01,2745,Eurostat TSV (local)
2018-09-01,2715,Eurostat TSV (local)
2018-10-01,2860,Eurostat TSV (local)
2018-11-01,2645,Eurostat TSV (local)
2018-12-01,2285,Eurostat TSV (local)
2019-01-01,2595,Eurostat TSV (local)
2019-02-01,2310,Eurostat TSV (local)
2019-03-01,2605,Eurostat TSV (local)
2019-04-01,2445,Eurostat TSV (local)
2019-05-01,2615,Eurostat TSV (local)
2019-06-01,2555,Eurostat TSV (local)
2019-07-01,3045,Eurostat TSV (local)
2019-08-01,2940,Eurostat TSV (local)
2019-09-01,2980,Eurostat TSV (local)
2019-10-01,3020,Eurostat TSV (local)
2019-11-01,2585,Eurostat TSV (local)
2019-12-01,3135,Eurostat TSV (local)
