date,pollster,client,cycle,SPÖ,ÖVP,FPÖ,Grüne,NEOS
2013-09-29,2013 legislative election,,2017,26.8,24.0,20.5,12.4,5.0
2013-10-03,Gallup,Österreich,2017,28.0,23.0,21.0,13.0,7.0
2013-10-17,Gallup,Österreich,2017,28.0,23.0,22.0,13.0,8.0
2013-10-20,Market,Der Standard,2017,25.0,23.0,25.0,12.0,7.0
2013-10-25,Gallup,Österreich,2017,27.0,24.0,22.0,13.0,8.0
2013-10-26,Karmasin,profil,2017,26.0,23.0,23.0,12.0,8.0
2013-10-27,Market,Der Standard,2017,25.0,23.0,24.0,12.0,8.0
2013-11-08,Karmasin,Heute,2017,27.0,23.0,22.0,12.0,9.0
2013-11-16,Gallup,Österreich,2017,26.0,23.0,23.0,14.0,9.0
2013-11-23,Karmasin,profil,2017,26.0,23.0,23.0,14.0,9.0
2013-11-24,Market,trend,2017,23.0,22.0,25.0,13.0,9.0
2013-11-29,Gallup,Österreich,2017,25.0,22.0,23.0,15.0,10.0
2013-12-06,Market,Der Standard,2017,23.0,21.0,25.0,13.0,10.0
2013-12-12,Hajek,ATV,2017,23.0,20.0,26.0,14.0,11.0
2013-12-14,Gallup,Österreich,2017,24.0,21.0,24.0,15.0,10.0
2013-12-21,Gallup,Österreich,2017,24.0,20.0,24.0,15.0,11.0
2013-12-22,Market,Der Standard,2017,24.0,20.0,26.0,12.0,11.0
2014-01-12,Gallup,Österreich,2017,24.0,21.0,24.0,14.0,12.0
2014-01-15,meinungsraum.at,NEWS,2017,26.0,19.0,26.0,12.0,12.0
2014-01-17,Gallup,Österreich,2017,24.0,20.0,25.0,14.0,12.0
2014-01-18,IMAS,Kronen Zeitung,2017,25.0,23.0,25.0,13.0,7.0
2014-01-19,Market,Der Standard,2017,23.0,20.0,26.0,12.0,11.0
2014-01-30,Gallup,Österreich,2017,23.0,19.0,25.0,14.0,15.0
2014-02-14,Gallup,Österreich,2017,22.0,19.0,24.0,14.0,14.0
2014-03-07,Gallup,Österreich,2017,23.0,20.0,24.0,14.0,13.0
2014-03-11,Market,Der Standard,2017,22.0,19.0,27.0,13.0,13.0
2014-03-13,Hajek,ATV,2017,24.0,20.0,27.0,12.0,13.0
2014-03-15,IMAS,Kronen Zeitung,2017,24.0,21.0,26.0,11.0,10.0
2014-03-20,meinungsraum.at,NEWS,2017,24.0,18.0,27.0,12.0,14.0
2014-03-23,Gallup,Östtereich,2017,22.0,20.0,24.0,14.0,14.0
2014-03-30,Gallup,Östtereich,2017,24.0,19.0,24.0,14.0,14.0
2014-04-06,OGM,Kurier,2017,26.0,21.0,24.0,12.0,13.0
2014-04-12,Gallup,Östtereich,2017,24.0,20.0,23.0,14.0,14.0
2014-04-16,IMAS,Kronen Zeitung,2017,26.0,22.0,23.0,13.0,12.0
2014-04-21,Market,Der Standard,2017,22.0,19.0,27.0,12.0,13.0
2014-05-01,Gallup,Österreich[permanent dead link],2017,24.0,20.0,24.0,13.0,14.0
2014-05-10,Gallup,Österreich,2017,24.0,20.0,25.0,13.0,13.0
2014-05-28,Gallup,Österreich,2017,25.0,21.0,26.0,14.0,11.0
2014-06-06,Unique Research,Heute,2017,24.0,22.0,26.0,13.0,11.0
2014-06-08,Hajek,ATV,2017,25.0,20.0,27.0,11.0,13.0
2014-06-10,Market,,2017,22.0,19.0,27.0,15.0,11.0
2014-06-13,IMAS,Kronen Zeitung,2017,27.0,23.0,24.0,13.0,8.0
2014-06-14,Unique Research,profil,2017,25.0,21.0,28.0,13.0,10.0
2014-06-18,Gallup,Österreich,2017,25.0,21.0,27.0,14.0,9.0
2014-06-21,OGM,Kurier,2017,26.0,22.0,25.0,13.0,10.0
2014-06-26,meinungsraum.at,NEWS,2017,23.0,19.0,28.0,14.0,10.0
2014-07-05,Gallup,Österreich,2017,26.0,20.0,27.0,14.0,9.0
2014-07-12,Unique Research,profil,2017,24.0,21.0,28.0,12.0,11.0
2014-07-13,Market,Der Standard,2017,22.0,18.0,27.0,15.0,11.0
2014-07-18,Gallup,Österreich,2017,25.0,20.0,27.0,15.0,10.0
2014-08-02,Gallup,Österreich,2017,24.0,19.0,28.0,14.0,10.0
2014-08-09,IMAS,Kronen Zeitung,2017,26.0,22.0,24.0,14.0,8.0
2014-08-09,Unique Research,profil,2017,25.0,19.0,29.0,13.0,10.0
2014-08-09,Gallup,Österreich,2017,25.0,19.0,28.0,14.0,10.0
2014-08-22,Gallup,Österreich,2017,25.0,19.0,27.0,14.0,11.0
2014-08-26,Market,Der Standard,2017,23.0,19.0,28.0,14.0,10.0
2014-08-30,Gallup,Österreich,2017,25.0,19.0,28.0,15.0,10.0
2014-09-04,Gallup,Österreich,2017,25.0,20.0,28.0,15.0,9.0
2014-09-04,Unique Research,heute,2017,25.0,24.0,26.0,11.0,10.0
2014-09-13,Unique Research,profil,2017,25.0,25.0,26.0,12.0,9.0
2014-09-13,Gallup,Österreich,2017,25.0,21.0,27.0,15.0,9.0
2014-09-18,Gallup,Österreich,2017,25.0,23.0,26.0,15.0,8.0
2014-09-19,AKonsult,Mein Bezirk,2017,25.0,24.0,26.0,14.0,9.0
2014-09-25,Hajek,ATV,2017,24.0,24.0,26.0,13.0,9.0
2014-10-02,Gallup,Österreich,2017,25.0,24.0,26.0,15.0,8.0
2014-10-10,Market,Der Standard,2017,22.0,21.0,26.0,16.0,10.0
2014-10-10,Gallup,Österreich,2017,25.0,24.0,26.0,14.0,8.0
2014-10-18,Unique Research,profil,2017,25.0,25.0,26.0,12.0,9.0
2014-10-19,IMAS,Kronen Zeitung,2017,25.0,24.0,24.0,13.0,8.0
2014-10-23,Gallup,Österreich,2017,25.0,24.0,25.0,14.0,8.0
2014-10-23,meinungsraum.at,NEWS,2017,25.0,25.0,26.0,12.0,9.0
2014-10-25,2014 European election,,2017,24.1,27.0,19.7,14.5,8.1
2014-10-31,Gallup,Österreich,2017,25.0,25.0,26.0,14.0,6.0
2014-11-14,Gallup,Österreich,2017,25.0,25.0,24.0,14.0,7.0
2014-11-15,Unique Research,profil,2017,27.0,27.0,26.0,12.0,7.0
2014-11-22,OGM,Kurier,2017,25.0,27.0,25.0,14.0,7.0
2014-11-23,OGM,Kurier,2017,22.0,23.0,25.0,16.0,9.0
2014-11-27,meinungsraum.at,NEWS,2017,23.0,24.0,27.0,15.0,7.0
2014-11-27,Hajek,ATV,2017,24.0,28.0,26.0,12.0,7.0
2014-11-27,Gallup,Österreich,2017,25.0,25.0,25.0,14.0,7.0
2014-12-05,Unique Research,heute,2017,25.0,28.0,25.0,12.0,8.0
2014-12-05,Gallup,Österreich,2017,24.0,26.0,25.0,14.0,7.0
2014-12-18,Gallup,Österreich,2017,23.0,27.0,26.0,13.0,7.0
