percentage,model,train_samples,accuracy,f1,precision,recall
20%,Fusion,800,0.922,0.9221400560224089,0.9226410256410256,0.9219999999999999
20%,RoBERTa,800,0.898,0.8987784063371099,0.9017241205260915,0.898
20%,OPENAI,800,0.851,0.8472,0.8627,0.8461
40%,Fusion,1600,0.922,0.9220947798904541,0.9242232277152443,0.9219999999999999
40%,RoBERTa,1600,0.91,0.910605681303414,0.9130894747709499,0.91
40%,OPENAI,1600,0.839,0.8348,0.8473,0.8337
60%,Fusion,2400,0.92,0.9203707087486157,0.9219995109306989,0.9199999999999999
60%,RoBERTa,2400,0.91,0.910291768682383,0.9108011321652808,0.91
60%,OPENAI,2400,0.852,0.8469,0.8614,0.8442
80%,Fusion,3200,0.916,0.9163954730384095,0.9174352457658702,0.9159999999999999
80%,RoBERTa,3200,0.914,0.914266166284416,0.9146317737018096,0.914
80%,OPENAI,3200,0.841,0.8371,0.8494,0.8323
100%,Fusion,4000,0.924,0.9239594860226472,0.925965755807653,0.9239999999999999
100%,RoBERTa,4000,0.922,0.9219745563678454,0.9226847282478775,0.922
100%,OPENAI,4000,0.853,0.8486,0.8683,0.8469


