TrainingData,Model,Accuracy,F1-Score,Precision,Recall
1%(100),Fusion,50.1%,0.502,0.503,0.502
1%(100),RoBERTa,0.0%,0.384,0.259,1.000
1%(100),OpenAI,88.6%,0.929,0.951,0.921
2%(116),Fusion,40.2%,0.402,0.402,0.402
2%(116),RoBERTa,0.0%,0.384,0.259,1.000
2%(116),OpenAI,88.0%,0.934,0.958,0.918
3%(175),Fusion,67.8%,0.682,0.683,0.683
3%(175),RoBERTa,0.0%,0.384,0.259,1.000
3%(175),OpenAI,87.9%,0.926,0.948,0.915
4%(233),Fusion,68.0%,0.686,0.686,0.687
4%(233),RoBERTa,0.0%,0.393,0.265,0.980
4%(233),OpenAI,88.7%,0.937,0.964,0.925
5%(292),Fusion,70.6%,0.717,0.720,0.715
5%(292),RoBERTa,0.0%,0.372,0.276,0.713
5%(292),OpenAI,88.1%,0.930,0.952,0.917
6%(350),Fusion,68.6%,0.691,0.692,0.692
6%(350),RoBERTa,12.6%,0.366,0.276,0.650
6%(350),OpenAI,88.4%,0.936,0.959,0.922
7%(408),Fusion,68.6%,0.699,0.700,0.702
7%(408),RoBERTa,17.2%,0.367,0.267,0.649
7%(408),OpenAI,87.8%,0.928,0.949,0.916
8%(467),Fusion,68.8%,0.691,0.692,0.691
8%(467),RoBERTa,41.1%,0.451,0.374,0.619
8%(467),OpenAI,88.3%,0.933,0.961,0.927
9%(525),Fusion,70.1%,0.706,0.707,0.705
9%(525),RoBERTa,36.9%,0.394,0.283,0.648
9%(525),OpenAI,87.9%,0.925,0.947,0.915
10%(584),Fusion,67.0%,0.671,0.672,0.671
10%(584),RoBERTa,40.0%,0.417,0.321,0.616
10%(584),OpenAI,88.5%,0.938,0.962,0.926

