| Training Data | Model    | Accuracy | F1-Score | Precision | Recall |
|---------------|----------|----------|----------|-----------|--------|
| 20% (1168)    | **Fusion** | 72.0% | 0.752 | 0.769 | 0.745 |
| 20% (1168)    | RoBERTa    | 67.3% | 0.534 | 0.465 | 0.643 |
| 20% (1168)    | OpenAI     | 88.6% | 0.928 | 0.951 | 0.923 |
| 40% (2336)    | **Fusion** | 83.6% | 0.886 | 0.893 | 0.889 |
| 40% (2336)    | RoBERTa    | 82.0% | 0.836 | 0.858 | 0.850 |
| 40% (2336)    | OpenAI     | 87.9% | 0.931 | 0.952 | 0.917 |
| 60% (3505)    | **Fusion** | 85.5% | 0.932 | 0.929 | 0.950 |
| 60% (3505)    | RoBERTa    | 83.4% | 0.907 | 0.906 | 0.945 |
| 60% (3505)    | OpenAI     | 88.4% | 0.938 | 0.959 | 0.924 |
| 80% (4673)    | **Fusion** | 90.2% | 0.954 | 0.954 | 0.965 |
| 80% (4673)    | RoBERTa    | 88.8% | 0.943 | 0.930 | 0.966 |
| 80% (4673)    | OpenAI     | 88.0% | 0.934 | 0.951 | 0.918 |
| 100% (5842)   | **Fusion** | 92.3% | 0.960 | 0.967 | 0.961 |
| 100% (5842)   | RoBERTa    | 89.0% | 0.946 | 0.932 | 0.966 |
| 100% (5842)   | OpenAI     | 88.9% | 0.939 | 0.963 | 0.927 |
