percentage,model,train_samples,accuracy,f1,precision,recall
10%,Fusion,20738,0.0,0.08581573082944735,0.045897314103314914,0.7733333333333333
20%,Fusion,41477,0.0,0.08530642788583966,0.04861622266622267,0.41960000000000003
30%,Fusion,62216,0.0,0.033666666666666664,0.037,0.03306666666666667
40%,Fusion,82955,0.0,0.041615873015873016,0.04463333333333333,0.04256666666666667
50%,Fusion,103694,0.0,0.08716088986430798,0.04621010905348771,0.9038333333333334
60%,Fusion,124433,0.0,0.09649147194749517,0.05167744810077426,0.8668333333333333
70%,Fusion,145172,0.0,0.08890828548419787,0.04713234324177789,0.9048333333333334
80%,Fusion,165911,0.0,0.09398138320691288,0.050059682214232626,0.9038333333333334
90%,Fusion,186650,0.0,0.09825985549182076,0.052533917845663705,0.8899333333333332
100%,Fusion,207389,0.0,0.0950596505086275,0.05238971071927728,0.6002666666666666
